COMISI?ÙN NACIONAL DEL AGUA,,,,,
COORDINACI?ÙN GENERAL DEL SERVICIO METEOROL?ÙGICO NACIONAL,,,,,
BASE DE DATOS CLIMATOL?ÙGICA NACIONAL ,,,,,
,,,,,
REGISTRO DIARIO HIST?ÙRICO,,,,,
EMISI?ÙN   : 21/03/2025 ,,,,,
,,,,,
DATOS DISPONIBLES EN LA BASE DE DATOS A: MARCH DE 2025; ,,,,,
CON LA INFORMACI?ÙN SUMINISTRADA POR LAS UNIDADES ADMINISTRATIVAS ,,,,,
,,,,,
 ESTACI?ÙN  : 22062 ,,,,,
 NOMBRE    : GUILLEN ,,,,,
 ESTADO    : QUER?ÎTARO ,,,,,
 MUNICIPIO : PE?ÊAMILLER ,,,,,
 SITUACI?ÙN : OPERANDO ,,,,,
 CVE-OMM   :   ,,,,,
 LATITUD   : 21.04 ?? ,,,,,
 LONGITUD  : -99.86277778 ?? ,,,,,
 ALTITUD   : 1370 msnm ,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
FECHA,PRECIP,EVAP,TMAX,TMIN,
,(mm),(mm),(??C,),(??C)
1/1/2000,0,3.98,31,6,
2/1/2000,0,3.78,32,7,
3/1/2000,0,4.65,33,7,
4/1/2000,0,6.47,33,6,
5/1/2000,0,4.53,26,2,
6/1/2000,0,4,30,2,
7/1/2000,0,0.6,28,5,
8/1/2000,0,4.84,29,7,
9/1/2000,0,4.86,31,7,
10/1/2000,0,5.7,29,9,
11/1/2000,0,2.8,30,8,
12/1/2000,0,3.9,32,7,
13/01/2000,0,2.58,27,7,
14/01/2000,0,2.32,21,7,
15/01/2000,0,2.1,21,11,
16/01/2000,0,3.18,25,15,
17/01/2000,0,3.22,24,9,
18/01/2000,0,3.2,25,10,
19/01/2000,0,4.44,28,5,
20/01/2000,0,3.33,29,4,
21/01/2000,0,3.4,28,6,
22/01/2000,0,5.6,30,7,
23/01/2000,0,3.4,31,8,
24/01/2000,0,3.35,32,8,
25/01/2000,0,3.5,32,9,
26/01/2000,0,4.45,30,8,
27/01/2000,0,3.9,33,11,
28/01/2000,0,3.25,33,10,
29/01/2000,0,3.46,30,9,
30/01/2000,0,3.29,31,8,
31/01/2000,0,3.14,31,8.5,
1/2/2000,0,2.86,31,8,
2/2/2000,0,6.2,29,9,
3/2/2000,0,3.8,23,12,
4/2/2000,0,4,27,5.5,
5/2/2000,0,4.25,25,6,
6/2/2000,0,3.75,29,5,
7/2/2000,0,5,29,8,
8/2/2000,0,1.15,22,8,
9/2/2000,0,4.1,27,5,
10/2/2000,0,4.75,33,5.5,
11/2/2000,0,5.6,35,7.5,
12/2/2000,0,5.48,35,7,
13/02/2000,0,5.92,36,9,
14/02/2000,0,6,34,10,
